"행정구역","2020년01월_계_총인구수","2020년01월_계_연령구간인구수","2020년01월_계_0~9세","2020년01월_계_10~19세","2020년01월_계_20~29세","2020년01월_계_30~39세","2020년01월_계_40~49세","2020년01월_계_50~59세","2020년01월_계_60~69세","2020년01월_계_70~79세","2020년01월_계_80~89세","2020년01월_계_90~99세","2020년01월_계_100세 이상","2020년01월_남_총인구수","2020년01월_남_연령구간인구수","2020년01월_남_0~9세","2020년01월_남_10~19세","2020년01월_남_20~29세","2020년01월_남_30~39세","2020년01월_남_40~49세","2020년01월_남_50~59세","2020년01월_남_60~69세","2020년01월_남_70~79세","2020년01월_남_80~89세","2020년01월_남_90~99세","2020년01월_남_100세 이상","2020년01월_여_총인구수","2020년01월_여_연령구간인구수","2020년01월_여_0~9세","2020년01월_여_10~19세","2020년01월_여_20~29세","2020년01월_여_30~39세","2020년01월_여_40~49세","2020년01월_여_50~59세","2020년01월_여_60~69세","2020년01월_여_70~79세","2020년01월_여_80~89세","2020년01월_여_90~99세","2020년01월_여_100세 이상"
"서울특별시 관악구 신림동(1162069500)","21,683","21,683","427","505","8,219","5,657","2,420","1,754","1,449","916","281","40","15","11,110","11,110","216","243","3,897","3,172","1,392","937","675","443","125","9","1","10,573","10,573","211","262","4,322","2,485","1,028","817","774","473","156","31","14"
"서울특별시 관악구 난향동(1162071500)","16,249","16,249","1,314","1,546","1,751","2,076","3,105","2,605","2,075","1,280","419","65","13","8,012","8,012","656","795","909","1,023","1,569","1,310","957","610","159","18","6","8,237","8,237","658","751","842","1,053","1,536","1,295","1,118","670","260","47","7"
"서울특별시 관악구 조원동(1162072500)","17,529","17,529","762","881","3,921","3,332","2,309","2,465","2,133","1,204","452","61","9","8,892","8,892","377","462","1,753","1,879","1,268","1,304","1,055","575","196","23","0","8,637","8,637","385","419","2,168","1,453","1,041","1,161","1,078","629","256","38","9"
"서울특별시 관악구 대학동(1162073500)","23,519","23,519","798","1,042","6,196","4,711","3,613","3,135","2,189","1,278","488","57","12","14,183","14,183","396","564","3,741","3,197","2,432","1,920","1,117","587","213","13","3","9,336","9,336","402","478","2,455","1,514","1,181","1,215","1,072","691","275","44","9"
"서울특별시 관악구 삼성동(1162074500)","25,020","25,020","1,022","1,747","3,167","2,926","3,718","4,528","4,082","2,655","994","153","28","12,566","12,566","554","918","1,710","1,650","1,973","2,265","1,892","1,169","388","42","5","12,454","12,454","468","829","1,457","1,276","1,745","2,263","2,190","1,486","606","111","23"
"서울특별시 관악구 미성동(1162076500)","32,044","32,044","1,959","2,519","4,943","4,575","4,932","5,192","4,540","2,502","774","86","22","15,692","15,692","980","1,249","2,459","2,373","2,510","2,477","2,109","1,220","292","18","5","16,352","16,352","979","1,270","2,484","2,202","2,422","2,715","2,431","1,282","482","68","17"
"서울특별시 관악구 난곡동(1162077500)","28,322","28,322","1,482","2,068","4,206","3,861","4,244","5,117","3,924","2,508","797","102","13","14,278","14,278","750","1,117","2,207","2,117","2,222","2,485","1,896","1,156","307","18","3","14,044","14,044","732","951","1,999","1,744","2,022","2,632","2,028","1,352","490","84","10"
"서울특별시 서초구 (1165000000)","431,050","431,050","35,903","45,892","56,518","66,532","78,736","62,874","46,667","26,657","9,278","1,781","212","206,112","206,112","18,563","23,378","27,240","30,463","37,169","30,775","21,468","12,605","3,927","474","50","224,938","224,938","17,340","22,514","29,278","36,069","41,567","32,099","25,199","14,052","5,351","1,307","162"
"서울특별시 서초구 서초1동(1165051000)","21,352","21,352","1,626","1,973","2,878","3,792","3,889","2,936","2,375","1,312","462","105","4","10,294","10,294","852","1,035","1,425","1,701","1,876","1,429","1,117","639","184","35","1","11,058","11,058","774","938","1,453","2,091","2,013","1,507","1,258","673","278","70","3"
"서울특별시 서초구 서초2동(1165052000)","18,615","18,615","1,513","1,680","2,752","3,780","3,302","2,450","1,778","988","287","69","16","8,845","8,845","751","880","1,224","1,738","1,576","1,225","813","482","134","21","1","9,770","9,770","762","800","1,528","2,042","1,726","1,225","965","506","153","48","15"
"서울특별시 서초구 서초3동(1165053000)","30,759","30,759","1,748","2,757","5,082","5,015","4,903","4,741","3,536","2,111","729","121","16","14,997","14,997","910","1,564","2,418","2,394","2,324","2,317","1,667","1,032","333","34","4","15,762","15,762","838","1,193","2,664","2,621","2,579","2,424","1,869","1,079","396","87","12"
"서울특별시 서초구 서초4동(1165053100)","31,690","31,690","3,141","4,199","3,630","4,010","6,433","4,641","3,014","1,809","666","131","16","15,386","15,386","1,630","2,201","1,726","1,717","3,036","2,415","1,426","873","316","40","6","16,304","16,304","1,511","1,998","1,904","2,293","3,397","2,226","1,588","936","350","91","10"
"서울특별시 서초구 잠원동(1165054000)","34,975","34,975","2,757","4,073","4,617","5,355","6,726","5,527","3,393","1,681","688","139","19","16,594","16,594","1,444","2,093","2,202","2,418","3,075","2,711","1,587","741","276","40","7","18,381","18,381","1,313","1,980","2,415","2,937","3,651","2,816","1,806","940","412","99","12"
"서울특별시 서초구 반포본동(1165055000)","12,095","12,095","623","1,987","1,510","936","2,425","2,069","1,191","977","329","39","9","5,690","5,690","333","968","740","409","1,010","1,068","543","445","163","9","2","6,405","6,405","290","1,019","770","527","1,415","1,001","648","532","166","30","7"
"서울특별시 서초구 반포1동(1165056000)","32,930","32,930","3,211","3,567","4,401","5,910","6,702","4,054","2,946","1,547","475","98","19","15,872","15,872","1,618","1,812","2,016","2,656","3,371","2,097","1,370","714","188","26","4","17,058","17,058","1,593","1,755","2,385","3,254","3,331","1,957","1,576","833","287","72","15"
"서울특별시 서초구 반포2동(1165057000)","16,221","16,221","1,972","2,727","1,388","1,699","3,762","2,065","1,308","905","304","67","24","7,747","7,747","1,057","1,350","686","664","1,735","1,100","594","402","138","14","7","8,474","8,474","915","1,377","702","1,035","2,027","965","714","503","166","53","17"
"서울특별시 서초구 반포3동(1165058000)","20,326","20,326","1,882","2,759","2,249","2,569","4,297","2,999","1,927","1,126","428","76","14","9,589","9,589","980","1,377","1,123","1,118","1,941","1,504","860","487","179","19","1","10,737","10,737","902","1,382","1,126","1,451","2,356","1,495","1,067","639","249","57","13"
"서울특별시 서초구 반포4동(1165058100)","19,654","19,654","1,785","2,184","2,424","2,871","3,593","2,827","2,265","1,194","416","90","5","9,260","9,260","923","1,136","1,172","1,256","1,626","1,355","1,022","570","170","28","2","10,394","10,394","862","1,048","1,252","1,615","1,967","1,472","1,243","624","246","62","3"
"서울특별시 서초구 방배본동(1165059000)","21,383","21,383","1,552","2,918","2,685","2,486","4,088","3,436","2,197","1,317","599","100","5","9,965","9,965","772","1,387","1,266","1,101","1,795","1,734","1,042","588","251","29","0","11,418","11,418","780","1,531","1,419","1,385","2,293","1,702","1,155","729","348","71","5"
"서울특별시 서초구 방배1동(1165060000)","17,485","17,485","1,230","1,388","2,566","3,109","2,888","2,446","2,053","1,283","428","83","11","8,207","8,207","619","751","1,218","1,404","1,344","1,124","918","611","184","29","5","9,278","9,278","611","637","1,348","1,705","1,544","1,322","1,135","672","244","54","6"
"서울특별시 서초구 방배2동(1165061000)","20,792","20,792","1,267","1,686","3,035","3,239","3,183","3,294","2,842","1,622","516","95","13","9,771","9,771","651","877","1,454","1,499","1,515","1,479","1,270","771","230","24","1","11,021","11,021","616","809","1,581","1,740","1,668","1,815","1,572","851","286","71","12"
"서울특별시 서초구 방배3동(1165062000)","22,169","22,169","1,428","2,123","2,977","3,137","3,361","3,686","3,162","1,623","557","109","6","10,697","10,697","722","1,096","1,554","1,493","1,542","1,725","1,488","816","229","32","0","11,472","11,472","706","1,027","1,423","1,644","1,819","1,961","1,674","807","328","77","6"
"서울특별시 서초구 방배4동(1165062100)","23,777","23,777","1,708","2,666","3,249","3,711","4,360","3,482","2,345","1,585","574","84","13","10,902","10,902","870","1,222","1,423","1,652","1,961","1,682","1,080","724","271","15","2","12,875","12,875","838","1,444","1,826","2,059","2,399","1,800","1,265","861","303","69","11"
"서울특별시 서초구 양재1동(1165065100)","45,473","45,473","4,612","4,300","5,510","7,258","7,895","6,355","5,446","2,905","974","213","5","21,789","21,789","2,416","2,181","2,706","3,435","3,880","2,995","2,388","1,396","350","41","1","23,684","23,684","2,196","2,119","2,804","3,823","4,015","3,360","3,058","1,509","624","172","4"
"서울특별시 서초구 양재2동(1165065200)","22,917","22,917","1,611","1,653","3,538","4,614","3,961","3,337","2,495","1,250","364","87","7","11,544","11,544","885","824","1,814","2,398","2,047","1,648","1,156","599","153","16","4","11,373","11,373","726","829","1,724","2,216","1,914","1,689","1,339","651","211","71","3"
"서울특별시 서초구 내곡동(1165066000)","18,437","18,437","2,237","1,252","2,027","3,041","2,968","2,529","2,394","1,422","482","75","10","8,963","8,963","1,130","624","1,073","1,410","1,515","1,167","1,127","715","178","22","2","9,474","9,474","1,107","628","954","1,631","1,453","1,362","1,267","707","304","53","8"
"서울특별시 강남구 (1168000000)","545,938","545,938","38,734","60,401","75,871","85,483","100,391","80,401","58,005","33,036","11,145","2,198","273","261,190","261,190","20,037","31,554","36,393","39,126","46,773","39,994","26,493","15,714","4,530","524","52","284,748","284,748","18,697","28,847","39,478","46,357","53,618","40,407","31,512","17,322","6,615","1,674","221"
"서울특별시 강남구 신사동(1168051000)","17,257","17,257","1,045","1,786","2,366","2,531","3,163","2,483","1,806","1,400","577","90","10","8,020","8,020","539","902","1,079","1,109","1,423","1,223","818","626","271","29","1","9,237","9,237","506","884","1,287","1,422","1,740","1,260","988","774","306","61","9"
"서울특별시 강남구 논현1동(1168052100)","23,243","23,243","757","938","4,664","6,031","3,825","2,820","2,306","1,357","455","71","19","10,818","10,818","376","452","2,080","2,805","1,853","1,363","1,017","655","191","23","3","12,425","12,425","381","486","2,584","3,226","1,972","1,457","1,289","702","264","48","16"
"서울특별시 강남구 논현2동(1168053100)","21,658","21,658","1,222","1,324","3,535","4,735","3,715","2,873","2,223","1,472","460","79","20","10,075","10,075","624","700","1,580","2,106","1,796","1,393","962","685","200","23","6","11,583","11,583","598","624","1,955","2,629","1,919","1,480","1,261","787","260","56","14"
"서울특별시 강남구 압구정동(1168054500)","27,582","27,582","2,279","2,885","3,254","3,640","5,013","3,932","3,121","2,401","873","167","17","12,674","12,674","1,103","1,387","1,524","1,563","2,277","1,916","1,338","1,112","418","34","2","14,908","14,908","1,176","1,498","1,730","2,077","2,736","2,016","1,783","1,289","455","133","15"
"서울특별시 강남구 청담동(1168056500)","29,948","29,948","2,475","2,550","4,295","4,979","5,123","4,536","3,336","1,873","609","148","24","14,085","14,085","1,314","1,336","2,026","2,169","2,377","2,112","1,545","897","265","39","5","15,863","15,863","1,161","1,214","2,269","2,810","2,746","2,424","1,791","976","344","109","19"
"서울특별시 강남구 삼성1동(1168058000)","14,654","14,654","964","1,414","2,107","2,193","2,421","2,411","1,751","1,027","296","64","6","7,292","7,292","528","831","1,148","1,042","1,104","1,156","816","518","132","15","2","7,362","7,362","436","583","959","1,151","1,317","1,255","935","509","164","49","4"
"서울특별시 강남구 삼성2동(1168059000)","30,510","30,510","2,592","3,471","4,002","5,319","6,507","3,989","2,419","1,634","482","83","12","14,522","14,522","1,378","1,906","1,921","2,225","2,999","2,021","1,094","740","217","19","2","15,988","15,988","1,214","1,565","2,081","3,094","3,508","1,968","1,325","894","265","64","10"
"서울특별시 강남구 대치1동(1168060000)","25,279","25,279","2,077","5,655","2,546","1,693","6,269","3,762","1,904","985","324","49","15","12,687","12,687","1,142","3,165","1,282","647","2,769","2,095","935","500","142","7","3","12,592","12,592","935","2,490","1,264","1,046","3,500","1,667","969","485","182","42","12"
"서울특별시 강남구 대치2동(1168061000)","38,531","38,531","2,029","6,671","5,253","3,455","7,671","6,804","3,984","1,966","565","112","21","19,570","19,570","1,110","3,939","2,832","1,604","3,286","3,565","1,982","999","227","22","4","18,961","18,961","919","2,732","2,421","1,851","4,385","3,239","2,002","967","338","90","17"
"서울특별시 강남구 대치4동(1168063000)","20,514","20,514","814","2,630","3,411","3,405","4,173","3,202","1,529","1,027","284","29","10","9,692","9,692","408","1,440","1,630","1,535","1,804","1,591","696","461","123","2","2","10,822","10,822","406","1,190","1,781","1,870","2,369","1,611","833","566","161","27","8"
"서울특별시 강남구 역삼1동(1168064000)","35,976","35,976","1,164","1,485","7,692","10,170","5,969","4,200","2,972","1,669","543","90","22","17,351","17,351","578","720","3,359","4,980","3,053","2,181","1,408","807","239","21","5","18,625","18,625","586","765","4,333","5,190","2,916","2,019","1,564","862","304","69","17"
"서울특별시 강남구 역삼2동(1168065000)","37,132","37,132","3,106","5,511","4,779","5,443","8,699","4,658","2,563","1,735","515","103","20","17,425","17,425","1,612","2,617","2,069","2,353","4,055","2,522","1,130","798","237","30","2","19,707","19,707","1,494","2,894","2,710","3,090","4,644","2,136","1,433","937","278","73","18"
"서울특별시 강남구 도곡1동(1168065500)","22,514","22,514","1,855","2,366","3,160","3,414","3,896","3,533","2,507","1,251","434","90","8","10,664","10,664","890","1,089","1,499","1,554","1,846","1,694","1,248","641","172","28","3","11,850","11,850","965","1,277","1,661","1,860","2,050","1,839","1,259","610","262","62","5"
"서울특별시 강남구 도곡2동(1168065600)","34,378","34,378","2,984","4,865","4,139","3,855","6,696","5,462","3,487","2,046","681","146","17","15,959","15,959","1,540","2,157","1,891","1,592","2,959","2,775","1,634","1,051","316","42","2","18,419","18,419","1,444","2,708","2,248","2,263","3,737","2,687","1,853","995","365","104","15"
"서울특별시 강남구 개포1동(1168066000)","6,900","6,900","388","622","847","731","973","1,163","1,203","693","215","55","10","3,336","3,336","196","301","428","336","472","582","559","348","101","13","0","3,564","3,564","192","321","419","395","501","581","644","345","114","42","10"
"서울특별시 강남구 개포2동(1168067000)","22,241","22,241","1,656","2,653","2,991","2,908","3,697","3,873","2,852","1,191","338","73","9","10,740","10,740","824","1,313","1,502","1,405","1,655","1,909","1,354","641","124","12","1","11,501","11,501","832","1,340","1,489","1,503","2,042","1,964","1,498","550","214","61","8"
"서울특별시 강남구 개포4동(1168069000)","18,199","18,199","1,161","1,680","2,679","2,837","3,023","3,146","2,259","1,018","321","70","5","8,935","8,935","602","864","1,375","1,434","1,463","1,508","1,055","484","134","15","1","9,264","9,264","559","816","1,304","1,403","1,560","1,638","1,204","534","187","55","4"
"서울특별시 강남구 세곡동(1168070000)","44,856","44,856","4,971","4,547","5,386","7,312","7,711","6,078","4,725","2,651","1,208","261","6","21,370","21,370","2,507","2,246","2,591","3,375","3,830","2,959","2,095","1,289","410","67","1","23,486","23,486","2,464","2,301","2,795","3,937","3,881","3,119","2,630","1,362","798","194","5"
"서울특별시 강남구 일원본동(1168072000)","24,382","24,382","2,385","3,476","2,680","3,177","4,673","3,700","2,770","1,023","394","99","5","11,981","11,981","1,299","1,976","1,395","1,447","2,159","1,777","1,288","491","133","15","1","12,401","12,401","1,086","1,500","1,285","1,730","2,514","1,923","1,482","532","261","84","4"
"서울특별시 강남구 일원1동(1168073000)","16,322","16,322","822","1,297","2,390","2,402","2,276","2,668","2,497","1,371","493","101","5","8,002","8,002","417","733","1,234","1,259","1,156","1,268","1,113","650","148","23","1","8,320","8,320","405","564","1,156","1,143","1,120","1,400","1,384","721","345","78","4"
"서울특별시 강남구 일원2동(1168074000)","18,045","18,045","1,283","1,889","1,990","2,693","3,156","2,672","2,464","1,417","412","64","5","8,726","8,726","686","1,147","1,058","1,272","1,523","1,304","1,018","580","126","12","0","9,319","9,319","597","742","932","1,421","1,633","1,368","1,446","837","286","52","5"
"서울특별시 강남구 수서동(1168075000)","15,817","15,817","705","686","1,705","2,560","1,742","2,436","3,327","1,829","666","154","7","7,266","7,266","364","333","890","1,314","914","1,080","1,388","741","204","33","5","8,551","8,551","341","353","815","1,246","828","1,356","1,939","1,088","462","121","2"
"서울특별시 송파구 (1171000000)","676,341","676,341","53,456","61,511","95,851","114,515","110,834","104,410","80,961","38,698","13,452","2,380","273","327,261","327,261","27,640","31,557","46,091","54,955","53,528","50,370","38,513","18,876","5,106","557","68","349,080","349,080","25,816","29,954","49,760","59,560","57,306","54,040","42,448","19,822","8,346","1,823","205"
"서울특별시 송파구 풍납1동(1171051000)","14,650","14,650","772","1,000","1,867","2,175","2,126","2,580","2,371","1,258","440","53","8","7,241","7,241","416","518","978","1,146","1,083","1,219","1,118","575","172","13","3","7,409","7,409","356","482","889","1,029","1,043","1,361","1,253","683","268","40","5"
"서울특별시 송파구 풍납2동(1171052000)","25,390","25,390","2,043","2,153","3,820","4,202","4,114","3,721","3,147","1,557","535","91","7","12,078","12,078","1,077","1,069","1,686","1,959","1,981","1,813","1,516","754","198","24","1","13,312","13,312","966","1,084","2,134","2,243","2,133","1,908","1,631","803","337","67","6"
"서울특별시 송파구 거여1동(1171053100)","13,137","13,137","717","1,135","1,854","1,716","2,095","2,371","1,836","1,047","321","42","3","6,712","6,712","366","601","1,016","911","1,043","1,197","914","527","123","12","2","6,425","6,425","351","534","838","805","1,052","1,174","922","520","198","30","1"
"서울특별시 송파구 거여2동(1171053200)","16,824","16,824","1,100","1,468","1,906","2,314","2,733","2,899","2,364","1,436","504","85","15","8,276","8,276","564","785","988","1,202","1,335","1,418","1,132","664","162","19","7","8,548","8,548","536","683","918","1,112","1,398","1,481","1,232","772","342","66","8"
"서울특별시 송파구 마천1동(1171054000)","20,492","20,492","1,163","1,704","2,544","2,381","3,117","3,693","3,208","1,868","695","102","17","10,492","10,492","601","889","1,342","1,298","1,624","1,963","1,612","880","253","26","4","10,000","10,000","562","815","1,202","1,083","1,493","1,730","1,596","988","442","76","13"
"서울특별시 송파구 마천2동(1171055000)","20,039","20,039","1,037","1,523","2,541","2,379","2,963","3,921","3,112","1,766","647","120","30","10,163","10,163","521","794","1,371","1,283","1,564","1,999","1,542","805","261","17","6","9,876","9,876","516","729","1,170","1,096","1,399","1,922","1,570","961","386","103","24"
"서울특별시 송파구 방이1동(1171056100)","16,410","16,410","1,141","1,801","2,497","2,332","2,793","2,737","1,865","825","355","56","8","7,926","7,926","594","926","1,250","1,136","1,263","1,303","882","430","125","16","1","8,484","8,484","547","875","1,247","1,196","1,530","1,434","983","395","230","40","7"
"서울특별시 송파구 방이2동(1171056200)","25,725","25,725","1,304","1,391","4,801","5,688","3,679","3,786","3,081","1,457","458","78","2","12,272","12,272","710","749","2,133","2,772","1,817","1,745","1,430","728","173","14","1","13,453","13,453","594","642","2,668","2,916","1,862","2,041","1,651","729","285","64","1"
"서울특별시 송파구 오륜동(1171056600)","18,912","18,912","1,387","2,968","2,292","1,841","3,513","3,164","2,366","960","336","85","0","9,311","9,311","758","1,628","1,211","769","1,573","1,557","1,141","530","119","25","0","9,601","9,601","629","1,340","1,081","1,072","1,940","1,607","1,225","430","217","60","0"
"서울특별시 송파구 오금동(1171057000)","40,827","40,827","3,114","3,488","5,859","6,076","6,046","7,209","5,491","2,381","967","185","11","19,843","19,843","1,629","1,809","3,036","2,990","2,809","3,384","2,627","1,191","325","41","2","20,984","20,984","1,485","1,679","2,823","3,086","3,237","3,825","2,864","1,190","642","144","9"
"서울특별시 송파구 송파1동(1171058000)","25,501","25,501","1,398","1,473","4,607","5,746","3,569","3,735","3,008","1,434","446","76","9","12,007","12,007","696","730","2,100","2,781","1,694","1,695","1,399","703","192","17","0","13,494","13,494","702","743","2,507","2,965","1,875","2,040","1,609","731","254","59","9"
"서울특별시 송파구 송파2동(1171059000)","20,748","20,748","1,697","2,004","3,044","3,088","3,158","3,433","2,709","1,111","414","80","10","9,996","9,996","876","1,023","1,442","1,474","1,506","1,629","1,289","584","155","16","2","10,752","10,752","821","981","1,602","1,614","1,652","1,804","1,420","527","259","64","8"
"서울특별시 송파구 석촌동(1171060000)","33,531","33,531","1,862","2,100","5,752","7,310","5,117","4,962","3,819","1,918","608","77","6","16,072","16,072","979","1,068","2,629","3,561","2,522","2,381","1,779","878","249","26","0","17,459","17,459","883","1,032","3,123","3,749","2,595","2,581","2,040","1,040","359","51","6"
"서울특별시 송파구 삼전동(1171061000)","32,167","32,167","1,818","2,168","5,382","6,956","5,356","4,677","3,502","1,670","527","100","11","15,324","15,324","918","1,150","2,474","3,451","2,585","2,151","1,605","795","176","16","3","16,843","16,843","900","1,018","2,908","3,505","2,771","2,526","1,897","875","351","84","8"
"서울특별시 송파구 가락본동(1171062000)","27,532","27,532","1,725","2,052","4,418","4,934","4,004","4,852","3,435","1,483","543","77","9","13,642","13,642","879","1,071","2,184","2,487","1,980","2,354","1,706","735","219","23","4","13,890","13,890","846","981","2,234","2,447","2,024","2,498","1,729","748","324","54","5"
"서울특별시 송파구 가락1동(1171063100)","27,783","27,783","3,140","2,327","3,776","5,591","4,241","4,063","3,081","1,175","324","60","5","13,538","13,538","1,677","1,176","1,823","2,688","2,079","1,914","1,471","598","99","12","1","14,245","14,245","1,463","1,151","1,953","2,903","2,162","2,149","1,610","577","225","48","4"
"서울특별시 송파구 가락2동(1171063200)","33,689","33,689","2,747","3,746","4,748","5,029","5,781","5,422","3,883","1,620","601","102","10","16,527","16,527","1,424","1,974","2,379","2,425","2,777","2,605","1,887","801","230","23","2","17,162","17,162","1,323","1,772","2,369","2,604","3,004","2,817","1,996","819","371","79","8"
"서울특별시 송파구 문정1동(1171064100)","21,136","21,136","1,448","1,650","3,397","3,710","2,969","3,533","2,837","1,121","384","75","12","10,436","10,436","763","841","1,677","1,924","1,454","1,643","1,402","563","143","24","2","10,700","10,700","685","809","1,720","1,786","1,515","1,890","1,435","558","241","51","10"
"서울특별시 송파구 문정2동(1171064200)","29,825","29,825","1,769","1,590","5,413","7,846","4,287","3,557","3,094","1,510","640","110","9","13,879","13,879","901","802","2,149","3,650","2,081","1,715","1,496","771","281","30","3","15,946","15,946","868","788","3,264","4,196","2,206","1,842","1,598","739","359","80","6"
"서울특별시 송파구 장지동(1171064600)","32,534","32,534","2,685","3,129","4,465","5,164","5,165","5,454","3,882","1,783","651","152","4","15,756","15,756","1,366","1,602","2,278","2,594","2,513","2,552","1,797","837","198","19","0","16,778","16,778","1,319","1,527","2,187","2,570","2,652","2,902","2,085","946","453","133","4"
"서울특별시 송파구 위례동(1171064700)","28,263","28,263","4,821","3,453","2,767","5,236","5,541","3,244","2,030","836","257","76","2","13,753","13,753","2,445","1,705","1,380","2,377","2,852","1,592","920","407","66","9","0","14,510","14,510","2,376","1,748","1,387","2,859","2,689","1,652","1,110","429","191","67","2"
"서울특별시 송파구 잠실본동(1171065000)","29,023","29,023","1,433","1,946","5,153","6,264","4,587","4,193","3,299","1,561","508","67","12","13,709","13,709","739","968","2,348","3,006","2,197","1,970","1,512","744","203","20","2","15,314","15,314","694","978","2,805","3,258","2,390","2,223","1,787","817","305","47","10"
"서울특별시 송파구 잠실2동(1171067000)","36,746","36,746","4,450","6,014","3,292","4,557","8,979","4,610","2,765","1,517","450","82","30","17,571","17,571","2,277","3,013","1,531","1,831","4,252","2,489","1,260","703","188","17","10","19,175","19,175","2,173","3,001","1,761","2,726","4,727","2,121","1,505","814","262","65","20"
"서울특별시 송파구 잠실3동(1171068000)","35,865","35,865","3,448","4,046","4,169","4,837","6,325","5,329","4,605","2,293","673","128","12","17,091","17,091","1,795","2,073","1,991","2,116","2,915","2,574","2,153","1,146","297","29","2","18,774","18,774","1,653","1,973","2,178","2,721","3,410","2,755","2,452","1,147","376","99","10"
"서울특별시 송파구 잠실4동(1171069000)","22,167","22,167","3,099","2,307","2,091","3,487","4,369","2,913","2,365","1,112","330","76","18","10,682","10,682","1,596","1,199","1,049","1,475","2,131","1,431","1,091","551","134","20","5","11,485","11,485","1,503","1,108","1,042","2,012","2,238","1,482","1,274","561","196","56","13"
"서울특별시 송파구 잠실6동(1171071000)","17,260","17,260","1,503","1,740","2,091","2,542","2,700","2,672","2,373","1,106","442","80","11","8,224","8,224","749","913","1,026","1,150","1,227","1,249","1,155","535","188","27","5","9,036","9,036","754","827","1,065","1,392","1,473","1,423","1,218","571","254","53","6"
"서울특별시 송파구 잠실7동(1171072000)","10,165","10,165","635","1,135","1,305","1,114","1,507","1,680","1,433","893","396","65","2","4,740","4,740","324","481","620","499","671","828","677","441","177","22","0","5,425","5,425","311","654","685","615","836","852","756","452","219","43","2"
"서울특별시 강동구 (1174000000)","440,795","440,795","32,825","38,907","59,405","68,470","70,987","71,420","58,402","28,667","9,743","1,738","231","217,545","217,545","17,030","20,521","29,767","34,312","35,455","34,816","27,788","13,874","3,548","376","58","223,250","223,250","15,795","18,386","29,638","34,158","35,532","36,604","30,614","14,793","6,195","1,362","173"
"서울특별시 강동구 강일동(1174051500)","31,883","31,883","2,759","4,482","3,901","3,358","5,610","4,991","3,696","2,007","911","153","15","15,391","15,391","1,401","2,295","1,964","1,533","2,695","2,465","1,739","920","331","44","4","16,492","16,492","1,358","2,187","1,937","1,825","2,915","2,526","1,957","1,087","580","109","11"
"서울특별시 강동구 상일동(1174052000)","14,534","14,534","1,213","1,667","1,753","2,048","2,372","2,479","1,896","794","254","51","7","7,250","7,250","628","871","953","1,009","1,139","1,225","923","409","85","7","1","7,284","7,284","585","796","800","1,039","1,233","1,254","973","385","169","44","6"
"서울특별시 강동구 명일제1동(1174053000)","26,641","26,641","2,182","2,782","3,326","4,193","4,359","4,198","3,437","1,521","525","108","10","13,032","13,032","1,119","1,448","1,702","2,129","2,068","1,973","1,638","749","182","22","2","13,609","13,609","1,063","1,334","1,624","2,064","2,291","2,225","1,799","772","343","86","8"
"서울특별시 강동구 명일제2동(1174054000)","17,723","17,723","1,196","2,654","2,275","1,871","3,172","2,885","2,368","893","320","84","5","8,758","8,758","616","1,439","1,181","907","1,431","1,419","1,177","463","107","18","0","8,965","8,965","580","1,215","1,094","964","1,741","1,466","1,191","430","213","66","5"
"서울특별시 강동구 고덕제1동(1174055000)","26,985","26,985","3,349","3,476","2,645","4,067","5,494","3,639","2,663","1,066","442","118","26","13,718","13,718","1,759","1,999","1,442","1,889","2,764","1,849","1,307","509","167","22","11","13,267","13,267","1,590","1,477","1,203","2,178","2,730","1,790","1,356","557","275","96","15"
"서울특별시 강동구 고덕제2동(1174056000)","20,220","20,220","2,262","1,778","2,230","3,489","3,299","3,149","2,553","1,023","357","76","4","10,297","10,297","1,178","932","1,200","1,743","1,700","1,600","1,270","528","124","19","3","9,923","9,923","1,084","846","1,030","1,746","1,599","1,549","1,283","495","233","57","1"
"서울특별시 강동구 암사제1동(1174057000)","36,369","36,369","2,428","2,863","4,989","5,641","5,755","6,160","4,918","2,590","869","135","21","18,009","18,009","1,213","1,490","2,579","2,919","2,915","3,049","2,325","1,191","291","33","4","18,360","18,360","1,215","1,373","2,410","2,722","2,840","3,111","2,593","1,399","578","102","17"
"서울특별시 강동구 암사제2동(1174058000)","14,919","14,919","1,332","1,022","1,988","2,806","2,370","2,214","1,795","1,027","312","42","11","7,261","7,261","686","498","988","1,395","1,174","1,064","823","497","121","13","2","7,658","7,658","646","524","1,000","1,411","1,196","1,150","972","530","191","29","9"
"서울특별시 강동구 암사제3동(1174059000)","18,621","18,621","2,109","1,982","2,054","2,697","3,331","2,727","2,323","1,008","312","70","8","9,119","9,119","1,079","1,019","1,038","1,246","1,657","1,305","1,141","495","123","12","4","9,502","9,502","1,030","963","1,016","1,451","1,674","1,422","1,182","513","189","58","4"
"서울특별시 강동구 천호제1동(1174060000)","28,094","28,094","1,613","1,953","3,948","4,207","4,218","4,834","4,232","2,227","726","124","12","13,869","13,869","807","1,023","1,986","2,208","2,185","2,303","2,007","1,073","254","20","3","14,225","14,225","806","930","1,962","1,999","2,033","2,531","2,225","1,154","472","104","9"
"서울특별시 강동구 천호제2동(1174061000)","35,046","35,046","1,934","2,040","4,987","6,309","5,164","6,075","4,833","2,685","852","142","25","17,415","17,415","1,008","1,063","2,408","3,268","2,675","3,067","2,313","1,246","332","28","7","17,631","17,631","926","977","2,579","3,041","2,489","3,008","2,520","1,439","520","114","18"
