"행정구역","2020년01월_계_총인구수","2020년01월_계_연령구간인구수","2020년01월_계_0~9세","2020년01월_계_10~19세","2020년01월_계_20~29세","2020년01월_계_30~39세","2020년01월_계_40~49세","2020년01월_계_50~59세","2020년01월_계_60~69세","2020년01월_계_70~79세","2020년01월_계_80~89세","2020년01월_계_90~99세","2020년01월_계_100세 이상","2020년01월_남_총인구수","2020년01월_남_연령구간인구수","2020년01월_남_0~9세","2020년01월_남_10~19세","2020년01월_남_20~29세","2020년01월_남_30~39세","2020년01월_남_40~49세","2020년01월_남_50~59세","2020년01월_남_60~69세","2020년01월_남_70~79세","2020년01월_남_80~89세","2020년01월_남_90~99세","2020년01월_남_100세 이상","2020년01월_여_총인구수","2020년01월_여_연령구간인구수","2020년01월_여_0~9세","2020년01월_여_10~19세","2020년01월_여_20~29세","2020년01월_여_30~39세","2020년01월_여_40~49세","2020년01월_여_50~59세","2020년01월_여_60~69세","2020년01월_여_70~79세","2020년01월_여_80~89세","2020년01월_여_90~99세","2020년01월_여_100세 이상"
"서울특별시 성북구 성북동(1129052500)","17,040","17,040","868","1,266","2,769","2,571","2,657","2,740","1,979","1,393","657","126","14","8,015","8,015","425","672","1,284","1,203","1,286","1,296","937","599","267","38","8","9,025","9,025","443","594","1,485","1,368","1,371","1,444","1,042","794","390","88","6"
"서울특별시 성북구 삼선동(1129055500)","25,021","25,021","1,308","2,085","4,438","3,658","4,028","3,919","2,735","1,924","789","105","32","12,006","12,006","701","1,089","2,022","1,794","2,008","1,962","1,285","806","303","28","8","13,015","13,015","607","996","2,416","1,864","2,020","1,957","1,450","1,118","486","77","24"
"서울특별시 성북구 동선동(1129057500)","15,477","15,477","630","1,002","4,281","2,544","2,117","1,867","1,431","1,096","423","68","18","6,553","6,553","308","461","1,408","1,181","1,005","901","636","464","164","20","5","8,924","8,924","322","541","2,873","1,363","1,112","966","795","632","259","48","13"
"서울특별시 성북구 돈암제1동(1129058000)","15,777","15,777","903","1,483","2,151","2,048","2,372","2,820","2,136","1,258","531","63","12","7,371","7,371","423","693","1,011","1,005","1,117","1,356","994","550","195","22","5","8,406","8,406","480","790","1,140","1,043","1,255","1,464","1,142","708","336","41","7"
"서울특별시 성북구 돈암제2동(1129059000)","24,882","24,882","2,196","2,972","2,983","3,138","4,719","4,021","2,609","1,453","678","102","11","11,888","11,888","1,130","1,480","1,490","1,467","2,224","1,936","1,249","622","261","26","3","12,994","12,994","1,066","1,492","1,493","1,671","2,495","2,085","1,360","831","417","76","8"
"서울특별시 성북구 안암동(1129060000)","15,369","15,369","510","936","4,840","2,156","1,792","2,132","1,460","1,034","444","52","13","7,800","7,800","270","498","2,577","1,190","912","1,049","687","430","171","12","4","7,569","7,569","240","438","2,263","966","880","1,083","773","604","273","40","9"
"서울특별시 성북구 보문동(1129061000)","16,258","16,258","1,024","1,048","2,875","2,751","2,521","2,584","1,839","1,073","455","72","16","7,864","7,864","523","521","1,399","1,401","1,270","1,227","878","457","169","14","5","8,394","8,394","501","527","1,476","1,350","1,251","1,357","961","616","286","58","11"
"서울특별시 성북구 정릉제1동(1129062000)","18,881","18,881","1,504","1,881","2,354","2,762","3,363","2,845","2,135","1,399","558","67","13","9,172","9,172","802","933","1,204","1,338","1,654","1,409","991","609","213","18","1","9,709","9,709","702","948","1,150","1,424","1,709","1,436","1,144","790","345","49","12"
"서울특별시 성북구 정릉제2동(1129063000)","23,532","23,532","1,607","1,985","3,195","3,132","3,726","3,813","3,265","1,929","758","105","17","11,480","11,480","832","1,048","1,617","1,623","1,831","1,824","1,526","837","311","29","2","12,052","12,052","775","937","1,578","1,509","1,895","1,989","1,739","1,092","447","76","15"
"서울특별시 성북구 정릉제3동(1129064000)","15,599","15,599","731","1,044","2,986","1,976","2,051","2,408","2,138","1,497","641","118","9","7,764","7,764","369","555","1,681","1,105","1,013","1,173","960","625","252","29","2","7,835","7,835","362","489","1,305","871","1,038","1,235","1,178","872","389","89","7"
"서울특별시 성북구 정릉제4동(1129065000)","26,310","26,310","1,881","2,313","3,282","3,564","4,425","4,213","3,502","2,192","795","124","19","12,765","12,765","978","1,219","1,671","1,733","2,200","2,033","1,610","958","323","37","3","13,545","13,545","903","1,094","1,611","1,831","2,225","2,180","1,892","1,234","472","87","16"
"서울특별시 성북구 길음제1동(1129066000)","36,851","36,851","4,285","4,896","3,485","5,109","8,114","4,787","3,195","2,050","789","116","25","17,555","17,555","2,213","2,396","1,672","2,293","3,926","2,416","1,440","888","279","25","7","19,296","19,296","2,072","2,500","1,813","2,816","4,188","2,371","1,755","1,162","510","91","18"
"서울특별시 성북구 길음제2동(1129068500)","16,663","16,663","1,418","1,426","2,114","2,567","2,898","2,655","2,025","1,067","420","54","19","8,075","8,075","748","761","1,013","1,256","1,368","1,322","974","455","157","16","5","8,588","8,588","670","665","1,101","1,311","1,530","1,333","1,051","612","263","38","14"
"서울특별시 성북구 종암동(1129070500)","40,180","40,180","2,928","3,835","5,832","5,334","6,732","6,410","4,572","2,889","1,385","221","42","19,790","19,790","1,490","2,054","3,081","2,647","3,319","3,225","2,158","1,234","504","64","14","20,390","20,390","1,438","1,781","2,751","2,687","3,413","3,185","2,414","1,655","881","157","28"
"서울특별시 성북구 월곡제1동(1129071500)","27,272","27,272","2,263","2,721","3,072","3,709","4,770","4,289","3,439","2,121","771","93","24","13,201","13,201","1,133","1,321","1,487","1,836","2,374","2,144","1,628","957","296","19","6","14,071","14,071","1,130","1,400","1,585","1,873","2,396","2,145","1,811","1,164","475","74","18"
"서울특별시 성북구 월곡제2동(1129072500)","20,004","20,004","1,225","1,528","3,518","2,807","2,974","3,049","2,526","1,604","671","91","11","9,680","9,680","640","766","1,555","1,448","1,513","1,541","1,227","710","261","18","1","10,324","10,324","585","762","1,963","1,359","1,461","1,508","1,299","894","410","73","10"
